nthread,neighbor_modes,rates,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
2,queue,40,14175,12199,11830,152757,25121,142594,140902,2733900
2,queue,50,11889,14922,14458,155340,24610,89675,109089,2927159
2,queue,60,9112,17948,16526,139373,30438,72175,153263,2752254
2,queue,70,9860,25342,18506,191031,25628,61845,143912,2671507
2,queue,80,12879,23114,19773,158830,24123,63708,134144,3558706
2,queue,90,11394,20861,20622,151920,29397,57629,107616,3591778
2,queue,100,8766,17845,18145,175978,24241,40359,143876,3859166
2,ps,1,12869,17733,16490,104976,76531,156373,117976,1610987
2,ps,2,14076,16124,19894,121725,94921,200944,127633,1840376
2,ps,3,18887,18611,19183,138643,94657,192933,142441,2261538
2,ps,4,20801,22190,22047,155127,93572,212623,166422,2572556
2,ps,5,22006,23224,21661,178582,92902,234789,183035,2838973
2,ps,6,24836,26612,20381,189816,94932,218483,202618,3036430
2,ps,7,27690,28161,19691,211050,94277,227695,211015,3218847
2,ps,8,28365,30772,20266,215461,100034,200498,227709,3348283
2,ps,9,26153,30773,20010,231637,99369,238251,231871,3428649
2,ps,10,30023,31545,20707,239710,102582,229233,244104,3511855
2,ps,20,27063,40672,26191,280816,94902,259993,299386,4044271
2,ps,30,34433,43201,38135,339329,95530,251546,314556,4401452
2,ps,40,33223,56543,44072,319466,101213,319086,332647,4457759
2,ps,50,27737,51646,44788,305805,97305,249563,388664,4628501
2,ps,60,38224,52893,68422,328351,130216,224755,344179,4710872
2,ps,70,33133,47789,65434,369611,102017,243034,388366,4614050
2,ps,80,34104,56816,65105,387651,107810,287691,385973,4630096
2,ps,90,34708,41658,78142,369407,132075,247842,386615,4697280
2,ps,100,41556,48281,75493,370385,130892,272977,395940,4774693
4,all,1,27049,43946,31915,260910,199991,454848,264902,4111328
4,all,2,36973,33274,31612,297953,206874,481763,304178,7527797
4,all,3,47113,28842,29158,369537,183777,440282,389508,7666726
4,all,4,38471,31238,29198,402308,153253,591583,422868,8150901
4,all,5,46586,31266,24126,360946,176114,371437,519831,8141769
4,all,6,49074,37677,29052,812346,229662,577759,637213,7800494
4,all,7,35480,44069,26551,456998,145477,467724,557764,8982433
4,all,8,43622,47084,19300,594209,237245,316404,794307,8134720
4,all,9,40753,33989,26515,653030,260311,412660,596390,9320404
4,all,10,54327,43690,26540,830149,229579,481445,773678,10164805
4,all,20,38054,63372,16889,533133,114834,275122,654057,11008751
4,all,30,35263,56657,24084,493244,76506,316362,772479,9484217
4,all,40,29795,49964,24057,729744,45906,316337,792012,10161388
4,all,50,21670,36633,24096,473411,84196,206354,653442,10161375
4,all,60,24405,69972,14436,532632,76534,123808,772161,9483751
4,all,70,24406,99840,38513,512828,68869,206337,593920,10499696
4,all,80,27086,69890,45724,473348,91804,151295,534584,8806164
4,all,90,21670,63242,38509,512837,38254,233803,395963,9483493
4,all,100,18962,33275,21651,591604,53554,110035,653256,8128781
4,unweighted,1,71819,85597,89857,883588,337465,689321,913232,10343954
4,unweighted,2,123510,90041,82325,875196,329307,688055,992724,10924168
4,unweighted,3,101680,101940,86720,879495,359909,715452,863793,10717479
4,unweighted,4,111774,91257,79546,974314,306302,687888,1018160,11208081
4,unweighted,5,122312,97324,84380,893616,336758,660293,994144,11194011
4,unweighted,6,111423,120715,60263,970856,313874,701574,955622,11190919
4,unweighted,7,84309,140624,96284,870735,321492,852736,1052498,11189804
4,unweighted,8,89592,87000,52990,948852,344398,660204,992792,11185308
4,unweighted,9,103167,123832,72210,1008027,344366,797762,972393,11184513
4,unweighted,10,92338,116858,57821,908926,336705,742782,1090820,11182754
4,unweighted,20,73203,169933,45741,1282423,374901,715181,1228128,11179211
4,unweighted,30,116499,136491,72226,966603,206577,715137,1188916,11178199
4,unweighted,40,102943,149872,98639,1143835,160656,701394,1247279,11177853
4,unweighted,50,46042,106502,55320,1025657,191291,577624,1088994,11177837
4,unweighted,60,83996,143120,98650,1143753,229519,605116,989980,11177220
4,unweighted,70,75858,79854,91444,1084642,252469,605111,1247286,11177127
4,unweighted,80,46042,103160,76966,1301630,160654,536352,1128483,11177117
4,unweighted,90,51458,96512,86603,1064968,175954,453820,1088795,11177003
4,unweighted,100,62290,119795,86624,1104239,168304,495091,1029388,11177210
4,queue,1,10672,17376,7816,89927,32029,72615,100425,885039
4,queue,2,8685,10934,8240,80568,38546,87700,76391,887921
4,queue,3,8939,10933,8148,69934,36663,79574,76593,1043680
4,queue,4,9263,10321,7434,69125,33419,88110,78178,1290599
4,queue,5,9515,10741,8131,78856,32411,80513,80377,1546233
4,queue,6,9355,10304,9184,80905,47693,97621,86134,1588480
4,queue,7,9005,10317,7242,84324,40093,82842,95158,1798658
4,queue,8,9824,10856,6784,87730,39293,70698,104719,1883075
4,queue,9,9298,10044,8190,88057,32666,119102,99804,1896654
4,queue,10,10697,10026,7043,85592,36046,70728,102896,2025903
4,queue,20,9424,11546,8108,110115,27201,91035,121892,2342079
4,queue,30,11055,13538,9689,123145,42191,94309,128720,2855293
4,queue,40,12255,17069,8691,109812,23800,131313,149973,3282798
4,queue,50,10821,14093,15258,104853,25605,95618,134965,3424741
4,queue,60,9585,12089,14829,150975,30283,60674,158975,2978281
4,queue,70,10000,17968,30730,129005,23869,76688,161300,2790202
4,queue,80,11419,22476,37557,119760,30468,46225,168420,3227901
4,queue,90,11242,15908,11743,138295,27800,42622,134675,3181901
4,queue,100,10135,20130,17976,157955,27659,43404,210918,3475497
4,ps,1,13154,17025,15467,107434,69222,144241,126409,1418396
4,ps,2,13469,16386,17660,114188,80530,169299,122714,1808770
4,ps,3,18353,17840,19832,132125,87471,183323,137995,2228103
4,ps,4,19373,20385,18682,152792,89723,193798,159843,2500437
4,ps,5,22281,23590,19135,167494,82978,204849,174679,2739102
4,ps,6,22780,26015,18041,177214,83590,217958,186626,2927432
4,ps,7,24228,26273,20857,195182,83571,207748,204699,3302386
4,ps,8,24651,26847,18799,205794,89247,227563,212074,3249893
4,ps,9,28659,28711,20719,222432,96910,212136,223572,3316215
4,ps,10,29008,29733,20522,217414,81117,225666,228729,3501089
4,ps,20,31694,38305,25688,264471,94625,250846,287124,4016808
4,ps,30,30049,40403,40394,288818,93891,266194,298761,4361987
4,ps,40,36877,38809,51078,312222,90096,278949,330775,4503731
4,ps,50,39569,46554,60659,319561,97258,243538,347161,4630163
4,ps,60,29615,38456,56648,343846,117450,243682,363907,4655145
4,ps,70,31768,43756,57723,358451,136474,277267,384707,4741090
4,ps,80,30502,47458,77143,379289,118001,242681,380208,4624254
4,ps,90,33810,47789,78576,362498,120433,248388,397920,4695058
4,ps,100,36508,45864,57479,412028,135929,228507,349145,4766460
8,all,1,27601,38148,32126,258106,153833,441175,289527,4098010
8,all,2,34556,36770,34122,281232,329276,619499,315222,7198811
8,all,3,36241,28761,31682,426652,176211,509400,348910,7832154
8,all,4,35824,31697,21812,504286,161016,440289,502578,7977970
8,all,5,43789,38100,41008,460371,145594,399079,638701,7974292
8,all,6,32849,47592,41023,536553,214393,385292,596850,9493286
8,all,7,38258,37646,21747,595141,214356,454103,794864,9322925
8,all,8,32782,34028,36181,751702,114888,536432,715694,9489101
8,all,9,35403,60690,26521,791794,153179,399107,714269,9320124
8,all,10,27299,37104,40991,593631,145531,357773,794079,8133271
8,all,20,37989,70176,19297,493849,99554,357624,575152,8468739
8,all,30,27135,46698,24110,532939,114801,302598,812081,8638212
8,all,40,51491,50055,21684,631431,53556,316347,712913,10500397
8,all,50,27114,46665,33723,769306,99484,165071,554522,11177344
8,all,60,40666,36647,57798,512871,61204,165047,593974,9314527
8,all,70,24406,43310,40924,454126,61224,151336,712740,8637412
8,all,80,16254,49958,26486,611467,38254,123787,475205,9483673
8,all,90,13546,73223,38519,512992,45904,137524,613755,9314349
8,all,100,16254,56592,24077,828256,45904,137535,633555,8467452
8,unweighted,1,67355,82535,89938,792521,353583,716673,974106,10142635
8,unweighted,2,112513,96685,79836,845170,390609,715935,974712,11092670
8,unweighted,3,112429,92548,72433,881013,375266,730024,963385,11222754
8,unweighted,4,103553,121070,65124,935219,344440,674197,956899,11202009
8,unweighted,5,97877,104597,79509,852856,306293,688157,996000,11192476
8,unweighted,6,114227,117259,77132,891561,321537,770434,1014254,11189417
8,unweighted,7,90225,123993,60261,989588,267970,687747,1053047,11189798
8,unweighted,8,111299,107178,50633,949415,321406,687900,933125,11186597
8,unweighted,9,108703,133561,50583,909867,352130,756468,972738,11184838
8,unweighted,10,108524,106941,69852,987863,336891,673964,1012291,11185122
8,unweighted,20,116520,126688,52978,966945,374956,728947,1010338,11179938
8,unweighted,30,78539,119960,64992,1163760,198948,646416,1010535,11178461
8,unweighted,40,84017,129825,79410,1065124,122406,605114,1247458,11177874
8,unweighted,50,83982,113191,89031,1104557,175985,453851,1010282,11177828
8,unweighted,60,51458,86539,86609,1064896,283074,577630,1029603,11177455
8,unweighted,70,54166,109797,69774,1124122,237189,440068,1108874,11177303
8,unweighted,80,56874,129776,105826,1064890,153004,481324,1168319,11177216
8,unweighted,90,51458,96506,93828,907181,175954,440068,1128444,11177718
8,unweighted,100,56874,89852,79402,1301699,145353,618859,1148275,11177174
8,queue,1,12703,17562,8189,85187,31398,65844,99715,845560
8,queue,2,8463,11216,8320,72595,35841,70319,77228,918424
8,queue,3,8685,10822,8120,67055,37474,78350,76999,1098444
8,queue,4,9108,10993,8868,68405,33522,88854,74431,1227349
8,queue,5,9179,10240,8205,71962,34659,67160,80819,1427312
8,queue,6,9047,10927,6743,80873,40188,65890,78902,1579464
8,queue,7,9075,10008,6697,77426,37065,73210,90006,1738380
8,queue,8,9688,10468,6481,86271,34253,82829,93022,2006950
8,queue,9,8509,10319,7615,87573,37775,109932,84927,1853441
8,queue,10,8592,10252,7401,93195,30690,79092,92004,1948139
8,queue,20,8984,11942,10001,103872,33281,88944,108938,2314749
8,queue,30,9652,13906,10025,107214,29833,87864,126065,2612385
8,queue,40,10580,10680,12714,122653,27060,108499,123820,2816243
8,queue,50,8553,12196,13847,120698,22835,78970,120072,2927672
8,queue,60,8131,13046,25135,120588,29866,104040,145627,2931044
8,queue,70,9091,11283,15990,145904,25005,62524,143531,3152793
8,queue,80,9831,18957,28715,137666,21912,68946,115327,2818687
8,queue,90,10078,16420,26182,112644,25730,49875,136646,3061144
8,queue,100,8751,17040,40613,124153,23512,43337,136301,3700756
8,ps,1,14378,18106,14998,105861,66124,132170,118939,1376469
8,ps,2,13621,14771,17694,114050,80137,156957,110509,1773099
8,ps,3,17056,16177,19563,127167,80135,170507,132557,2120304
8,ps,4,19850,20194,19219,136203,79872,182320,145064,2424423
8,ps,5,21497,22426,19861,159184,81952,189093,157538,2772550
8,ps,6,22574,25106,21045,165538,82070,192482,173560,2882265
8,ps,7,24179,26714,20746,177247,79818,203223,190071,3232624
8,ps,8,28286,30202,18694,193319,87973,222000,202095,3372167
8,ps,9,27802,28793,21086,199566,89372,204999,200074,3283688
8,ps,10,29655,30056,19789,201422,92785,208834,207506,3387086
8,ps,20,26814,33222,24164,253685,93175,252258,262328,3895247
8,ps,30,30231,39289,33426,278803,88078,209985,285371,4252253
8,ps,40,31817,38951,55787,299037,85788,311604,303782,4481933
8,ps,50,27287,45416,48163,315096,91925,232210,336345,4543212
8,ps,60,29532,47067,75208,331045,96793,203719,347438,4490033
8,ps,70,30655,40870,71358,314413,110927,253844,336248,4645788
8,ps,80,32490,47227,70939,355216,113294,228667,377583,4601598
8,ps,90,33346,37504,73862,390915,113160,225944,351027,4665903
8,ps,100,36140,42271,75043,416997,133203,268273,365770,4702297
16,all,1,27732,40043,44186,308087,176781,510245,307212,4545787
16,all,2,31785,37181,31767,319546,252832,550825,363535,7029422
16,all,3,33998,35923,29083,386450,168514,591722,372820,7823793
16,all,4,30468,41835,48337,561179,176102,564262,445041,7640149
16,all,5,43960,41538,36203,735426,191413,467811,519498,7466830
16,all,6,46346,41029,38584,656181,160829,481518,538775,8987800
16,all,7,32744,40833,24138,438318,145472,426620,775227,8135930
16,all,8,40809,37341,21729,574557,199078,316508,794389,10167229
16,all,9,32641,40686,28920,514953,168395,399072,774478,8641466
16,all,10,51610,50660,19331,673113,252574,330185,536582,8302499
16,all,20,43421,53366,31308,651395,176017,591416,654793,9654487
16,all,30,46079,59967,21705,769427,91837,316357,930913,9484960
16,all,40,46067,53310,24101,532702,114777,453857,772520,11177764
16,all,50,24406,50010,36112,670708,76535,220061,673436,11177756
16,all,60,24413,49943,28911,611498,91840,151301,574308,9314452
16,all,70,27114,89875,24095,433976,68874,206308,435692,9991920
16,all,80,27086,56592,38520,670539,38254,165052,475278,11007962
16,all,90,18962,36623,28906,414294,45904,220061,593970,10501247
16,all,100,18962,26621,21679,473318,53554,165043,435604,9822521
16,unweighted,1,67439,76706,78054,806592,368259,689223,929613,10055089
16,unweighted,2,78380,86654,79828,907388,360218,908359,949748,9754011
16,unweighted,3,106564,105523,70067,859131,405753,715514,904222,11220895
16,unweighted,4,92590,101284,60309,934903,375081,715764,980374,11202158
16,unweighted,5,122293,111533,57857,893050,329162,687937,937134,11197504
16,unweighted,6,73685,124056,81887,930810,306220,674184,973952,11194490
16,unweighted,7,105874,107255,84255,969393,321501,687781,1072635,11188767
16,unweighted,8,113980,133644,72246,910400,329123,632843,1013239,11186625
16,unweighted,9,105880,140655,55391,968657,329092,687787,1052191,11185854
16,unweighted,10,84100,126984,50562,988243,306149,729064,1071032,11186092
16,unweighted,20,105745,129906,62588,1045792,367273,701471,1149529,11180026
16,unweighted,30,94823,139851,72226,1025940,252488,632658,1010726,11179139
16,unweighted,40,100227,166470,79403,1183516,175956,632619,1089191,11178450
16,unweighted,50,67748,113173,74584,927306,198929,495105,1089118,11177884
16,unweighted,60,48750,96528,88991,907383,214229,605134,1029659,11177820
16,unweighted,70,51458,113124,84180,1045340,298374,550119,1069336,11177637
16,unweighted,80,54166,106487,86608,1301601,183604,618869,1009679,11177400
16,unweighted,90,56874,106469,103437,1084661,168304,536352,1009755,11177513
16,unweighted,100,67706,113123,84180,1301458,175954,550099,1148254,11177058
16,queue,1,10617,17451,8061,83835,30403,60275,98797,880604
16,queue,2,9113,10968,8448,65364,30641,76954,81307,855293
16,queue,3,8246,10376,7966,66474,34050,72909,68475,990459
16,queue,4,8421,10089,7873,67816,30931,67559,68360,1236165
16,queue,5,9038,10261,7956,71076,42068,71338,73318,1432125
16,queue,6,9078,9953,7691,74252,34093,65073,77787,1539393
16,queue,7,8845,9958,7261,71884,34388,92461,83435,1858423
16,queue,8,8493,9754,6658,76577,28930,83442,83301,1817170
16,queue,9,8398,10516,6745,77301,30118,79157,85748,1812659
16,queue,10,9880,11193,6377,80819,39506,80302,84190,1986431
16,queue,20,9343,13303,8551,103199,35146,78562,103575,2404286
16,queue,30,11085,16778,10943,120497,37240,74114,121133,3123395
16,queue,40,12179,11663,12229,119550,20654,95998,132367,2760737
16,queue,50,10191,14526,13089,110354,30218,83391,125535,3099922
16,queue,60,9984,12195,10374,112415,25997,46729,134006,3067548
16,queue,70,9094,12868,11282,96199,26809,60158,131416,3231989
16,queue,80,8121,16964,12021,128959,25224,61543,113367,4123777
16,queue,90,8482,12313,17041,128796,26728,52480,145136,3112698
16,queue,100,9549,13765,17822,162571,34373,44580,117292,3221782
16,ps,1,13371,18140,15950,112160,58920,126644,132251,1646797
16,ps,2,15575,16033,17952,100613,71935,148928,118392,1709477
16,ps,3,17677,18412,19863,122474,76647,164485,127458,2084342
16,ps,4,20004,19451,18811,133449,77082,176535,140643,2362408
16,ps,5,22407,21811,20481,144850,80520,171335,152490,2602172
16,ps,6,21941,23090,21979,161537,84671,173347,165142,2756244
16,ps,7,20917,24797,18735,171937,82925,191946,179018,2915647
16,ps,8,25851,26611,18529,180508,86967,186890,185033,3080405
16,ps,9,23502,25857,19975,196777,86817,185047,192855,3180661
16,ps,10,27694,29450,20351,193377,88549,195174,197154,3284121
16,ps,20,29243,32819,25040,242839,95481,215067,250751,3901428
16,ps,30,28519,39778,34506,278771,94822,308383,280309,4145063
16,ps,40,26418,38907,51060,286104,96279,233873,282818,5124341
16,ps,50,27937,39448,48537,273541,94333,219290,356252,4425189
16,ps,60,31704,40374,51969,298370,99324,243473,325013,4653072
16,ps,70,31825,40589,66317,333547,92485,229582,328422,4478284
16,ps,80,30891,37912,72771,384263,104481,266628,360645,4723238
16,ps,90,36752,45616,64666,337238,117244,236790,330793,4607903
16,ps,100,36025,42809,78568,345023,117972,187832,374907,4651461
32,all,1,31079,37253,36880,285537,177017,400052,303578,4651783
32,all,2,42769,30679,36553,340238,298763,454279,419525,6860369
32,all,3,33705,29079,46200,406850,160822,467771,368576,7493338
32,all,4,33219,41730,33841,403583,160830,536546,600750,7979352
32,all,5,44227,34774,41065,578305,168517,495277,578665,7636156
32,all,6,32753,41208,26562,479521,244942,385295,598984,7630290
32,all,7,43706,34010,24129,497445,267900,385194,519549,7292119
32,all,8,27375,34023,26518,613723,137816,330203,755855,8137022
32,all,9,32699,37327,33730,554158,267860,563976,655897,8643051
32,all,10,70545,40494,16915,435833,176131,316433,774275,8981633
32,all,20,43489,53402,19283,631840,153067,288883,713766,9993807
32,all,30,51511,46775,21721,631498,91860,316368,614162,9315973
