nthread,neighbor_modes,rates,dataset,coarsen,move,refine
1,queue,100,citeseer,3.333333333333333,28.333333333333336,0.0
1,ps,1,citeseer,0.0,0.0,0.0
1,ps,2,citeseer,0.0,1.0,0.0
1,ps,3,citeseer,0.0,2.333333333333333,0.0
1,ps,4,citeseer,0.0,4.0,0.0
1,ps,5,citeseer,0.0,4.333333333333333,0.0
1,ps,6,citeseer,0.0,6.0,0.0
1,ps,7,citeseer,0.0,7.333333333333334,0.0
1,ps,8,citeseer,0.0,9.0,0.0
1,ps,9,citeseer,0.0,9.333333333333334,0.0
1,ps,10,citeseer,0.0,11.333333333333334,0.0
1,ps,20,citeseer,1.0,21.333333333333332,0.0
1,ps,30,citeseer,1.0,31.666666666666664,0.0
1,ps,40,citeseer,1.6666666666666665,42.0,0.0
1,ps,50,citeseer,2.0,46.33333333333333,0.0
1,ps,60,citeseer,2.0,57.66666666666667,0.0
1,ps,70,citeseer,2.6666666666666665,65.33333333333334,0.0
1,ps,80,citeseer,3.0,72.0,0.0
1,ps,90,citeseer,3.0,82.0,0.0
1,ps,100,citeseer,4.0,91.0,0.0
1,all,1,wiki,0.0,1.6666666666666665,0.0
1,all,2,wiki,0.0,3.0,1.0
1,all,3,wiki,0.0,3.666666666666666,1.0
1,all,4,wiki,0.0,3.666666666666667,1.0
1,all,5,wiki,0.0,4.0,1.0
1,all,6,wiki,0.0,3.666666666666666,1.0
1,all,7,wiki,0.0,4.333333333333333,2.0
1,all,8,wiki,0.0,7.000000000000001,2.333333333333333
1,all,9,wiki,0.0,8.0,2.0
1,all,10,wiki,0.0,10.0,2.666666666666667
1,all,20,wiki,1.0,13.0,3.333333333333333
1,all,30,wiki,2.0,12.666666666666668,3.333333333333333
1,all,40,wiki,3.0,22.0,5.0
1,all,50,wiki,3.333333333333333,27.0,5.333333333333334
1,all,60,wiki,4.0,37.333333333333336,13.666666666666668
1,all,70,wiki,5.0,47.0,13.333333333333334
1,all,80,wiki,6.0,54.33333333333333,20.333333333333336
1,all,90,wiki,6.0,55.66666666666667,12.666666666666666
1,all,100,wiki,7.0,59.33333333333333,14.333333333333334
1,unweighted,1,wiki,0.0,6.666666666666667,0.6666666666666666
1,unweighted,2,wiki,0.0,9.333333333333334,1.3333333333333333
1,unweighted,3,wiki,0.0,12.666666666666668,1.6666666666666665
1,unweighted,4,wiki,0.0,12.333333333333334,1.3333333333333333
1,unweighted,5,wiki,0.0,15.0,3.0
1,unweighted,6,wiki,0.0,15.666666666666668,4.0
1,unweighted,7,wiki,0.0,20.666666666666664,3.333333333333333
1,unweighted,8,wiki,0.0,20.0,3.0
1,unweighted,9,wiki,0.0,19.0,3.333333333333333
1,unweighted,10,wiki,0.0,22.666666666666668,3.3333333333333335
1,unweighted,20,wiki,1.0,33.666666666666664,5.333333333333334
1,unweighted,30,wiki,2.0,63.33333333333334,12.333333333333332
1,unweighted,40,wiki,3.0,102.66666666666666,24.666666666666668
1,unweighted,50,wiki,3.0,134.0,19.333333333333336
1,unweighted,60,wiki,4.0,169.33333333333334,18.333333333333336
1,unweighted,70,wiki,5.0,212.0,6.666666666666667
1,unweighted,80,wiki,6.0,238.33333333333337,74.66666666666667
1,unweighted,90,wiki,6.0,291.0,24.333333333333332
1,unweighted,100,wiki,7.0,334.0,103.0
1,queue,1,wiki,0.0,1.0,0.0
1,queue,2,wiki,0.0,1.0,0.0
1,queue,3,wiki,0.0,2.0,0.0
1,queue,4,wiki,0.0,2.0,0.0
1,queue,5,wiki,0.0,2.0,0.0
1,queue,6,wiki,0.0,2.0,0.0
1,queue,7,wiki,0.0,3.0,0.0
1,queue,8,wiki,0.0,3.0,0.0
1,queue,9,wiki,0.0,4.0,0.0
1,queue,10,wiki,0.0,4.333333333333333,0.0
1,queue,20,wiki,1.0,8.666666666666666,0.0
1,queue,30,wiki,2.0,13.0,0.0
