nthread,neighbor_modes,rates,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
4,ps,4,24,19,19,26,34,34,34,34
4,ps,5,23,21,18,32,34,34,34,34
4,ps,6,22,21,14,34,28,34,34,34
4,ps,7,26,24,19,34,26,34,34,57
4,ps,8,22,24,17,34,28,34,34,34
4,ps,9,28,23,16,34,34,34,34,34
4,ps,10,22,23,18,34,22,34,34,34
4,ps,20,30,25,18,34,29,34,34,34
4,ps,30,19,26,25,34,24,34,34,34
4,ps,40,34,22,31,34,19,34,34,34
4,ps,50,34,34,33,34,17,34,34,34
4,ps,60,17,20,32,34,30,31,34,34
4,ps,70,16,24,27,34,34,33,34,34
4,ps,80,15,29,34,34,21,34,34,34
4,ps,90,19,22,34,34,19,29,34,34
4,ps,100,17,24,25,34,22,24,34,34
8,all,1,8,8,13,11,20,32,12,22
8,all,2,12,10,14,13,43,45,14,42
8,all,3,13,8,13,21,23,37,17,46
8,all,4,13,9,9,25,21,32,25,47
8,all,5,16,11,17,23,19,29,32,47
8,all,6,12,14,17,27,28,28,30,56
8,all,7,14,11,9,30,28,33,40,55
8,all,8,12,10,15,38,15,39,36,56
8,all,9,13,18,11,40,20,29,36,55
8,all,10,10,11,17,30,19,26,40,48
8,all,20,14,21,8,25,13,26,29,50
8,all,30,10,14,10,27,15,22,41,51
8,all,40,19,15,9,32,7,23,36,62
8,all,50,10,14,14,39,13,12,28,66
8,all,60,15,11,24,26,8,12,30,55
8,all,70,9,13,17,23,8,11,36,51
8,all,80,6,15,11,31,5,9,24,56
8,all,90,5,22,16,26,6,10,31,55
8,all,100,6,17,10,42,6,10,32,50
8,unweighted,1,23,22,37,38,46,52,47,57
8,unweighted,2,41,28,33,42,51,52,48,65
8,unweighted,3,41,27,30,44,49,53,48,66
8,unweighted,4,38,36,27,47,45,49,48,66
8,unweighted,5,36,31,33,43,40,50,50,66
8,unweighted,6,42,35,32,45,42,56,51,66
8,unweighted,7,33,37,25,50,35,50,53,66
8,unweighted,8,41,32,21,48,42,50,47,66
8,unweighted,9,40,40,21,46,46,55,49,66
8,unweighted,10,40,32,29,50,44,49,51,66
8,unweighted,20,43,38,22,49,49,53,51,66
8,unweighted,30,29,36,27,59,26,47,51,66
8,unweighted,40,31,39,33,54,16,44,63,66
8,unweighted,50,31,34,37,56,23,33,51,66
8,unweighted,60,19,26,36,54,37,42,52,66
8,unweighted,70,20,33,29,57,31,32,56,66
8,unweighted,80,21,39,44,54,20,35,59,66
8,unweighted,90,19,29,39,46,23,32,57,66
8,unweighted,100,21,27,33,66,19,45,58,66
8,queue,1,10,7,14,13,26,32,9,20
8,queue,2,12,8,11,13,27,30,12,34
8,queue,3,15,10,14,15,20,34,19,34
8,queue,4,13,10,15,17,20,34,24,34
8,queue,5,13,9,19,26,17,19,33,34
8,queue,6,12,12,8,31,22,17,28,34
8,queue,7,9,8,9,30,20,19,32,34
8,queue,8,15,9,9,34,19,26,34,58
8,queue,9,8,8,9,32,18,34,28,34
8,queue,10,12,10,7,26,15,21,25,34
8,queue,20,9,9,11,23,15,19,33,34
8,queue,30,8,11,8,17,10,20,34,34
8,queue,40,10,8,9,28,8,16,27,34
8,queue,50,6,9,8,26,6,12,24,34
8,queue,60,5,10,13,34,10,16,34,34
8,queue,70,7,7,9,25,7,9,24,34
8,queue,80,6,15,14,19,5,12,15,34
8,queue,90,7,9,13,18,5,8,17,34
8,queue,100,5,14,19,23,5,5,28,34
8,ps,1,13,8,33,16,34,34,14,34
8,ps,2,24,20,16,34,34,34,25,34
8,ps,3,24,22,21,34,34,34,34,34
8,ps,4,22,27,26,34,34,34,34,34
8,ps,5,26,24,17,34,34,34,34,59
8,ps,6,22,23,25,31,34,34,34,34
8,ps,7,34,25,31,34,24,34,34,60
8,ps,8,34,34,15,34,34,34,34,64
8,ps,9,32,24,22,34,34,34,34,34
8,ps,10,28,25,17,34,34,34,34,34
8,ps,20,20,19,15,34,34,34,34,34
8,ps,30,21,24,17,34,18,28,34,34
8,ps,40,30,23,30,34,16,34,34,34
8,ps,50,17,34,24,34,16,28,34,34
8,ps,60,20,31,38,34,18,24,34,34
8,ps,70,19,22,34,34,22,30,34,34
8,ps,80,16,34,31,34,19,24,34,34
8,ps,90,17,18,34,34,20,23,34,34
8,ps,100,20,26,34,59,23,34,34,34
16,all,1,8,9,18,13,23,37,13,25
16,all,2,11,10,13,15,33,40,17,41
16,all,3,12,10,12,19,22,43,18,46
16,all,4,11,12,20,28,23,41,22,45
16,all,5,16,12,15,37,25,34,26,44
16,all,6,17,12,16,33,21,35,27,53
16,all,7,12,12,10,22,19,31,39,48
16,all,8,15,11,9,29,26,23,40,60
16,all,9,12,12,12,26,22,29,39,51
16,all,10,19,15,8,34,33,24,27,49
16,all,20,16,16,13,33,23,43,33,57
16,all,30,17,18,9,39,12,23,47,56
16,all,40,17,16,10,27,15,33,39,66
16,all,50,9,15,15,34,10,16,34,66
16,all,60,9,15,12,31,12,11,29,55
16,all,70,10,27,10,22,9,15,22,59
16,all,80,10,17,16,34,5,12,24,65
16,all,90,7,11,12,21,6,16,30,62
16,all,100,7,8,9,24,7,12,22,58
16,unweighted,1,23,20,32,39,48,50,45,57
16,unweighted,2,28,25,33,45,47,66,47,57
16,unweighted,3,39,31,29,43,53,52,45,66
16,unweighted,4,34,30,25,47,49,52,49,66
16,unweighted,5,45,33,24,45,43,50,47,66
16,unweighted,6,27,37,34,47,40,49,49,66
16,unweighted,7,39,32,35,49,42,50,54,66
16,unweighted,8,42,40,30,46,43,46,51,66
16,unweighted,9,39,42,23,49,43,50,53,66
16,unweighted,10,31,38,21,50,40,53,54,66
16,unweighted,20,39,39,26,53,48,51,58,66
16,unweighted,30,35,42,30,52,33,46,51,66
16,unweighted,40,37,50,33,60,23,46,55,66
16,unweighted,50,25,34,31,47,26,36,55,66
16,unweighted,60,18,29,37,46,28,44,52,66
16,unweighted,70,19,34,35,53,39,40,54,66
16,unweighted,80,20,32,36,66,24,45,51,66
16,unweighted,90,21,32,43,55,22,39,51,66
16,unweighted,100,25,34,35,66,23,40,58,66
16,queue,1,9,8,12,9,34,34,13,29
16,queue,2,15,9,11,12,16,34,15,34
16,queue,3,13,8,11,19,22,30,19,34
16,queue,4,11,9,10,34,17,29,18,34
16,queue,5,12,10,15,31,33,23,31,34
16,queue,6,15,8,11,34,18,20,33,34
16,queue,7,10,8,11,25,24,33,34,61
16,queue,8,10,9,8,22,13,19,34,54
16,queue,9,9,12,9,26,20,20,34,34
16,queue,10,16,20,6,24,21,18,27,34
16,queue,20,10,12,9,20,16,16,28,34
16,queue,30,11,18,8,34,17,12,32,66
16,queue,40,14,8,8,28,5,17,34,34
16,queue,50,9,19,8,17,9,12,24,34
16,queue,60,7,9,6,22,8,6,21,34
16,queue,70,7,8,6,16,7,10,20,34
16,queue,80,5,14,7,20,6,15,19,65
16,queue,90,5,8,9,27,6,9,22,34
16,queue,100,8,9,9,27,8,5,21,34
16,ps,1,11,11,29,19,34,34,13,34
16,ps,2,20,22,22,34,34,34,34,34
16,ps,3,31,26,23,34,34,34,34,66
16,ps,4,28,23,25,34,34,34,34,34
16,ps,5,34,23,34,34,34,34,34,34
16,ps,6,34,20,34,34,34,34,34,34
16,ps,7,23,24,16,34,34,34,34,34
16,ps,8,31,26,16,34,34,34,34,34
16,ps,9,21,24,23,34,34,34,34,34
16,ps,10,31,23,18,34,34,34,34,34
16,ps,20,34,21,21,34,30,34,34,34
16,ps,30,20,31,20,34,31,47,34,34
16,ps,40,19,29,32,34,23,34,34,66
16,ps,50,19,22,31,34,18,33,55,34
16,ps,60,25,31,25,34,19,29,34,34
16,ps,70,21,23,34,59,16,29,34,34
16,ps,80,22,19,34,57,19,33,62,34
16,ps,90,22,30,30,34,22,29,34,34
16,ps,100,21,23,34,34,19,21,34,34
32,all,1,9,8,15,12,23,29,13,25
32,all,2,15,8,15,16,39,33,20,40
32,all,3,12,8,19,20,21,34,18,44
32,all,4,12,12,14,20,21,39,30,47
32,all,5,16,10,17,29,22,36,29,45
32,all,6,12,12,11,24,32,28,30,45
32,all,7,16,10,10,25,35,28,26,43
32,all,8,10,10,11,31,18,24,38,48
32,all,9,12,11,14,28,35,41,33,51
32,all,10,26,12,7,22,23,23,39,53
32,all,20,16,16,8,32,20,21,36,59
32,all,30,19,14,9,32,12,23,31,55
32,all,40,14,16,10,28,14,25,29,66
32,all,50,12,12,12,32,9,18,45,51
32,all,60,13,11,10,27,10,13,27,56
32,all,70,9,27,10,30,11,14,40,66
32,all,80,9,17,10,42,8,16,29,64
32,all,90,7,11,13,40,7,17,34,55
32,all,100,7,13,9,33,6,12,37,47
32,unweighted,1,25,23,42,38,44,53,45,57
32,unweighted,2,41,26,34,41,50,56,43,64
32,unweighted,3,43,25,30,46,46,51,45,66
32,unweighted,4,42,36,30,43,41,50,46,66
32,unweighted,5,36,33,30,44,45,47,51,66
32,unweighted,6,43,42,28,49,43,66,47,66
32,unweighted,7,42,38,37,47,41,48,55,66
32,unweighted,8,33,33,20,51,45,52,56,65
32,unweighted,9,45,34,21,60,45,57,47,66
32,unweighted,10,39,43,28,48,44,58,50,66
32,unweighted,20,35,35,27,55,47,49,65,66
32,unweighted,30,29,43,29,52,21,51,57,66
32,unweighted,40,31,43,40,59,45,55,58,66
32,unweighted,50,29,27,40,60,32,43,52,66
32,unweighted,60,28,41,26,59,31,38,49,66
32,unweighted,70,22,39,53,54,18,43,53,66
