neighbor_modes,rates,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
unweighted,90,0.5362204813192648,0.44833978247333284,0.25771790782880194,0.16164898116504403,0.47357413469966964,0.3044888897804796,0.1735818183007303,0.330949690061661
unweighted,100,0.5332347057963716,0.4500036751036516,0.2575700415825847,0.16511966042782322,0.479144359535423,0.4122229819138365,0.17308657707900585,0.35282699733510736
weighted,1,0.1056029330862108,0.028899942083027267,0.41923332739236996,0.023435738201539925,0.41562236971946803,0.25264506806627124,0.20804949640831724,0.1488769154446403
weighted,2,0.21682641962259902,0.073071884322576,0.4296304809030444,0.04112599331858005,0.4769432513955739,0.3118393875290395,0.23239870978509797,0.20331470592101739
weighted,3,0.24506764954313565,0.11373082067529192,0.4120986910550075,0.05062640708457697,0.48856552111446283,0.30229564421688054,0.24019322539549912,0.20697711940826216
weighted,4,0.29695906053769533,0.14835219913595288,0.4301877626618446,0.059409593451155186,0.47668605851772156,0.33191653003280047,0.2271793963683164,0.22606957753863857
weighted,5,0.29300662054439414,0.17509393861371933,0.4179626721143396,0.08177125481707091,0.5937982679817521,0.3411041215535055,0.2442215670686439,0.21309287734589055
weighted,6,0.346940814371251,0.19830425577424826,0.41099008112274377,0.0805965253599287,0.5942295952566412,0.3186757870824148,0.2402321265635091,0.22895016193983359
weighted,7,0.32394330009061184,0.2350114109195764,0.4115765800684672,0.07622649410613368,0.6449106466058785,0.342942553433589,0.22833385737997416,0.2314941457715155
weighted,8,0.3653121207971388,0.23991895156183435,0.37490246962252044,0.08502978756829623,0.5779933251817007,0.34083281595207593,0.23392990342708267,0.22439270369360723
weighted,9,0.37922826925653375,0.25598106166062834,0.37490683683636655,0.09239028202920904,0.6488672406840209,0.34958051556260916,0.22312720869397853,0.2188333220241264
weighted,10,0.3642588853984613,0.2500761065380313,0.41492961433177417,0.09017340466909725,0.621210964766264,0.2946532139451003,0.22806840098805706,0.2157961833570017
weighted,20,0.5532774535377146,0.3474139359755721,0.2565056811515413,0.10303331561302914,0.6087384645221517,0.3271377335671398,0.212285235304772,0.2671842279909656
weighted,30,0.54527724993225,0.3489413860103598,0.2274530574841396,0.11807990201580898,0.568600018857222,0.3665748544900815,0.19713380224174015,0.32707864125330716
weighted,40,0.5464016911298879,0.4196263603660781,0.2588792407331558,0.14950513009371239,0.597221435255305,0.4415240788970709,0.17494184355475398,0.30812583963567014
weighted,50,0.5495204404824455,0.4242189339094502,0.2572750001638961,0.15489391164480176,0.4910550865772493,0.32858302925827654,0.1356928250238554,0.3339690441179241
weighted,60,0.5472784112631193,0.40369485635049496,0.2272737077983792,0.1627351423902935,0.46001007606205974,0.41304767605410325,0.1260283990016973,0.3349835017514157
weighted,70,0.42366644252277114,0.40545310699744513,0.2558393369589659,0.178819954819075,0.4705253737944773,0.41272355991362625,0.1134464689888421,0.33591752952960646
weighted,80,0.4983533585398936,0.36907791864745215,0.2556338533833034,0.17733438294129847,0.4699538137392318,0.41172162539246954,0.10446210794667248,0.29710947190148945
weighted,90,0.4598924818845046,0.3708111367121498,0.2552309925922436,0.17645241311796991,0.39696455681640197,0.41145802387117825,0.08886790749230151,0.3484949198768814
weighted,100,0.41653307397271827,0.3735203839734171,0.25557383771692543,0.17040251446971413,0.39355240497037414,0.41226865113958433,0.08790410504613007,0.34617244167384786
queue,1,0.09915660975447832,0.028299348174579325,0.4093909257527272,0.02413535499075963,0.46031329010089805,0.25723890643862163,0.2109127183273266,0.1398496032987627
queue,2,0.21450122485783515,0.0704862687232548,0.43252784694070384,0.040897220262638645,0.48386956908175077,0.29166912057781963,0.23755174503148016,0.17858518388016567
queue,3,0.24138410570116003,0.12051058032429313,0.4183866372238339,0.054479441483710624,0.4758453435387052,0.28804056617248286,0.22360570930236034,0.20203019542913297
queue,4,0.285842104757942,0.1589767207185916,0.4239251215007596,0.06550383006925561,0.5055658335073815,0.3390135784748313,0.23170346955800528,0.22228764021656056
queue,5,0.29055598844765695,0.16559041461982618,0.4195231090410669,0.08157477962170206,0.5092661608920975,0.32407404858519895,0.22896705184890506,0.19425317602533815
queue,6,0.2951335118872817,0.21209417161933553,0.4243743255053127,0.08453770088898563,0.580321680111198,0.3200771193636247,0.22696396063958954,0.21330958880948947
